Timestamp,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,State
1764868952.5695632,0,-2,-1,-2,-1,-1,-2,-2,REST
1764868952.5934632,0,-2,-2,-1,-2,2,0,2,REST
1764868952.606326,2,-1,0,-1,-1,-2,-3,1,REST
1764868952.6229205,0,0,0,-1,0,-2,-1,-2,REST
1764868952.6296978,-3,1,-1,2,0,3,0,-1,REST
1764868952.637791,-4,-2,-2,-1,0,-2,1,1,REST
1764868952.6527436,-1,-3,-2,-1,1,1,0,0,REST
1764868952.6664283,1,1,0,2,-2,-1,0,-2,REST
1764868952.675565,-2,0,-2,-1,-3,0,1,-2,REST
1764868952.6978562,-3,-3,-1,-3,-4,-4,0,2,REST
1764868952.7128448,-2,-2,-5,-1,-1,-1,-2,-2,REST
1764868952.726545,-3,0,-1,-3,-1,-1,-1,-1,REST
1764868952.7355154,1,-2,-3,-4,-1,-1,-3,-2,REST
1764868952.7495322,2,1,3,1,-1,-2,1,0,REST
1764868952.756306,0,-2,-2,-2,-3,-2,-3,0,REST
1764868952.7728322,-5,-4,-2,-1,-1,-1,-1,0,REST
1764868952.7863553,-1,-1,1,0,-5,-2,1,-1,REST
1764868952.7954783,1,-1,-1,-2,-4,-1,-1,-2,REST
1764868952.809702,-2,-2,-1,-1,3,-1,2,-3,REST
1764868952.8162708,4,0,-1,-1,-1,-3,0,2,REST
1764868952.8329175,2,0,-3,-1,2,1,-1,-1,REST
1764868952.8463364,-1,1,0,-1,0,0,-3,-2,REST
1764868952.8552806,-2,-3,-3,-1,0,-2,1,-2,REST
1764868952.869668,-3,-2,1,2,1,-2,-1,0,REST
1764868952.8763814,-2,-2,-3,-3,0,0,-1,-1,REST
1764868952.8929098,1,-4,-2,-1,-1,-1,-2,-1,REST
1764868952.9065344,0,2,0,-4,1,-4,-1,-2,REST
1764868952.9155035,-1,2,-1,-1,1,-2,-1,-1,REST
1764868952.9296412,2,-1,-1,-1,-3,0,-1,3,REST
1764868952.9362597,-3,-3,-2,-2,-2,0,1,-1,REST
1764868952.9527054,0,2,-1,-1,-3,-2,0,1,REST
1764868952.9753923,0,-2,-1,0,-4,1,0,1,REST
1764868952.9895525,-3,-2,0,-2,-1,-3,-3,-1,REST
1764868952.9963126,0,-2,-3,-3,-1,1,-3,-1,REST
1764868953.0127776,-1,0,-2,-2,0,2,0,-1,REST
1764868953.0264635,-3,-2,-2,0,-2,-1,0,-3,REST
1764868953.0352895,0,0,-2,-1,1,-1,-1,-1,REST
1764868953.0496893,-3,-3,-2,-2,-2,-1,-2,-1,REST
1764868953.0563612,0,-2,-2,-3,-1,-1,-2,-1,REST
1764868953.0727453,-1,-5,-4,-4,-4,-1,-1,-2,REST
1764868953.0864341,-1,0,2,1,-2,-2,-2,0,REST
1764868953.0957367,1,-1,0,2,-1,-2,0,0,REST
1764868953.109541,0,-1,-1,0,0,-2,0,-1,REST
1764868953.116331,2,2,1,-1,0,0,0,-2,REST
1764868953.132115,1,1,-2,-2,0,0,-1,-1,REST
1764868953.1469982,-2,-2,-3,-1,-3,0,-1,-1,REST
1764868953.1553197,-1,-2,0,-1,-2,0,0,0,REST
1764868953.1777618,-1,-2,-3,-1,-2,-5,-1,-2,REST
1764868953.1923912,2,-4,-1,-2,-3,1,-1,-1,REST
1764868953.200296,0,0,-2,-2,-2,-1,-3,-1,REST
1764868953.2064338,-3,-2,-1,1,1,0,1,0,REST
1764868953.2155018,-2,-3,0,-2,-1,0,-3,-2,REST
1764868953.2294998,0,2,3,0,-1,1,-1,0,REST
1764868953.2364101,-1,0,0,0,-3,-2,0,0,REST
1764868953.2533092,-2,0,2,0,0,-2,-2,0,REST
1764868953.2664769,-1,-1,-2,-3,-2,-2,0,-1,REST
1764868953.2755516,-1,-2,1,-2,0,1,0,0,REST
1764868953.2896197,-3,-2,-4,1,1,0,-2,2,REST
1764868953.2964075,-3,-2,-1,-2,-5,-3,0,-3,REST
1764868953.3130205,-1,-3,1,0,0,-1,-1,-2,REST
1764868953.3265524,-1,1,0,-1,-2,-1,-3,-2,REST
1764868953.3353355,-2,-2,-2,0,0,-3,0,0,REST
1764868953.3490808,0,-2,-1,-1,-2,0,0,-1,REST
1764868953.3639522,-1,-2,-1,-1,-1,1,1,-1,REST
1764868953.372121,-2,-2,-1,-2,0,-4,-2,-1,REST
1764868953.3788865,0,4,0,1,-2,-2,-2,0,REST
1764868953.3864815,0,0,1,-1,-1,-1,1,0,REST
1764868953.395349,0,-1,-1,-2,3,0,-1,-2,REST
1764868953.4088094,2,-2,-1,0,-1,-1,-1,-3,REST
1764868953.4252973,0,-1,-1,-1,-4,-2,0,0,REST
1764868953.4319904,-1,1,1,-1,1,0,-2,-1,REST
1764868953.4389052,-2,-5,-1,0,-2,1,-1,-1,REST
1764868953.4551482,-3,-1,-3,-2,-2,-2,0,-1,REST
1764868953.4690187,-1,-1,1,1,-2,1,-1,1,REST
1764868953.477956,-1,-2,-3,1,1,-2,-1,0,REST
1764868953.4917545,1,-3,-2,-1,0,-1,-1,-2,REST
1764868953.5070703,-2,2,-1,-2,-2,1,-2,0,REST
1764868953.515285,0,-4,-1,-1,0,0,-2,-1,REST
1764868953.5289834,0,1,0,-2,-2,-1,-2,0,REST
1764868953.53787,-3,-3,-1,-2,1,-1,-2,-1,REST
1764868953.5528438,-2,0,-2,0,-2,0,-1,-2,REST
1764868953.5588627,0,1,-2,0,-2,-4,-1,-1,REST
1764868953.5752244,-1,-4,2,-3,-5,-1,2,-2,REST
1764868953.588789,-1,0,-1,-1,-1,-2,-1,0,REST
1764868953.6039448,-1,-1,-4,-2,0,-2,-1,-1,REST
1764868953.6121495,-2,0,0,-2,-1,1,-1,1,REST
1764868953.6187937,1,-1,-1,-4,0,0,1,-2,REST
1764868953.6353025,2,2,-1,0,-1,2,0,0,REST
1764868953.6489646,-4,-1,0,0,-3,-1,-2,-4,REST
1764868953.6578712,-1,-2,1,0,-1,0,-2,0,REST
1764868953.672079,-3,0,-2,-1,-1,-3,-2,-1,REST
1764868953.6787891,-1,0,0,-2,0,-3,0,-1,REST
1764868953.6959221,-3,-5,-7,-4,-4,-3,-3,-3,REST
1764868953.7088797,-2,-2,-2,-2,0,-1,0,0,REST
1764868953.7178965,-3,0,-3,-2,0,0,-3,-1,REST
1764868953.7321074,4,-3,2,0,0,-1,-1,0,REST
1764868953.738889,0,1,-1,0,-2,-3,0,1,REST
1764868953.7552516,-2,-1,-1,0,-1,-3,-1,0,REST
1764868953.7689176,-1,-3,0,-1,0,-3,-1,0,REST
1764868953.7781503,-4,-3,-3,1,-1,-3,0,-2,REST
1764868953.7920675,2,2,-1,-3,1,2,-1,-2,REST
1764868953.80675,-1,2,2,1,0,1,-2,-2,REST
1764868953.8153422,1,1,-3,-1,-2,0,0,-1,REST
1764868953.8288457,-1,1,-2,0,-1,-2,-1,-1,REST
1764868953.837831,-1,-1,0,-1,-1,0,0,1,REST
1764868953.8604085,-1,-1,-1,-3,-1,-1,-1,-1,REST
1764868953.8752797,-2,-5,-1,0,-3,0,0,-1,REST
1764868953.8890257,-1,-4,-3,-2,-1,-1,-1,-1,REST
1764868953.897995,-2,-1,-1,3,1,0,1,-1,REST
1764868953.9117842,0,0,0,-1,0,-2,-1,-1,REST
1764868953.9203444,-3,-3,-1,-3,-2,-1,-2,-1,REST
1764868953.935371,2,1,4,0,-2,-1,1,-1,REST
1764868953.9489348,-2,-1,-1,0,-2,-1,-3,-1,REST
1764868953.965491,-4,-2,-4,-3,-4,0,-2,-2,REST
1764868953.980303,-4,0,0,2,-1,2,-1,0,REST
1764868953.9952252,0,-3,0,3,-2,0,-1,1,REST
1764868954.0088437,1,-1,-3,-2,0,-2,0,-2,REST
1764868954.0178092,-1,-3,-3,-5,-2,0,-1,-2,REST
1764868954.032089,-2,-1,-3,1,-1,-2,0,-2,REST
1764868954.0388856,0,-2,4,-1,0,0,0,-1,REST
1764868954.0552356,1,-1,-5,-3,0,-2,-1,-1,REST
1764868954.06917,1,-1,1,-1,-2,-3,-3,1,REST
1764868954.0854123,-5,-2,-1,1,-2,-3,-2,0,REST
1764868954.0920599,-3,-2,-1,-2,-4,0,1,1,REST
1764868954.098902,0,0,-2,-1,-1,-1,-3,-1,REST
1764868954.1152558,-3,0,0,-2,-1,0,-2,-2,REST
1764868954.1377163,2,-2,0,0,-1,1,0,0,REST
1764868954.1520524,-3,1,-3,-1,3,-3,0,0,REST
1764868954.1588461,1,-1,-1,-3,-3,-2,0,0,REST
1764868954.175069,-1,-1,0,0,-2,-1,1,-2,REST
1764868954.181403,-2,3,1,0,1,-1,1,-1,REST
1764868954.1890144,-2,-4,-3,-1,0,-1,0,0,REST
1764868954.198005,-1,-1,1,-2,0,-4,-3,-2,REST
1764868954.227829,0,-1,-2,0,-2,1,-2,-1,REST
1764868954.2352808,0,-1,1,-3,-2,-1,-2,-1,REST
1764868954.2488887,-1,0,-1,-1,0,-2,-1,0,REST
