Timestamp,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,State
1765211577.6716747,1,0,0,9,6,-1,0,3,REST
1765211577.688128,0,-1,1,-2,2,-2,0,-2,REST
1765211577.695785,-4,-5,0,2,2,-1,1,0,REST
1765211577.7179835,-4,0,8,4,-1,0,-1,-3,REST
1765211577.7316477,-4,4,-1,-7,-6,-1,0,1,REST
1765211577.7406502,-6,-15,-7,4,0,-1,-2,-1,REST
1765211577.7555082,-2,-5,-1,-5,1,-1,-1,-2,REST
1765211577.7780108,-3,-7,-6,-3,0,0,-1,-6,REST
1765211577.7917888,0,1,3,-1,-7,-2,-1,3,REST
1765211577.8176172,-6,0,1,7,21,-1,-1,-3,REST
1765211577.837963,3,-1,6,6,2,-2,-2,-2,REST
1765211577.851819,3,10,8,2,-5,0,-1,1,REST
1765211577.8606431,-1,-8,-17,-8,-8,-4,-3,-7,REST
1765211577.875485,-2,1,-2,2,5,0,-1,-2,REST
1765211577.898605,0,-1,-1,-4,-4,-3,-2,-1,REST
1765211577.9116464,2,0,3,2,-1,0,0,0,REST
1765211577.920661,-1,-1,5,2,-5,1,0,0,REST
1765211577.9354806,1,-9,-1,-1,-2,-2,0,-1,REST
1765211577.9655538,-1,0,-2,2,12,-1,0,2,REST
1765211577.9806104,3,3,2,0,-6,-1,-1,-1,REST
1765211577.9957511,-3,-2,-3,-6,-4,-2,-1,-2,REST
1765211578.018766,-3,3,0,0,-3,0,2,2,REST
1765211578.0406814,0,1,-1,5,9,0,-1,0,REST
1765211578.0554664,-10,-9,-14,-15,-11,-1,-1,-4,REST
1765211578.0780122,9,5,10,6,5,1,1,0,REST
1765211578.100524,-11,-5,-10,-7,1,-1,-2,-5,REST
1765211578.1149132,0,-6,-11,-4,-10,-2,-4,-2,REST
1765211578.1292882,-10,-7,-4,-2,-2,1,0,-5,REST
1765211578.1380568,1,5,6,2,-3,-1,0,0,REST
1765211578.1604445,-5,-7,-7,-2,1,-1,-3,-2,REST
1765211578.174879,1,1,4,3,-4,-1,-1,-2,REST
1765211578.181736,5,4,3,0,1,-1,-1,1,REST
1765211578.198361,0,-4,-5,-6,-7,-2,-3,0,REST
1765211578.2207317,-3,-3,-5,-7,-2,-3,0,0,REST
1765211578.2349157,1,-7,-12,1,10,2,0,1,REST
1765211578.241691,-3,-5,2,2,6,-1,-3,-3,REST
