Timestamp,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,State
1765210655.6981995,15,4,-1,-2,-9,-3,-2,2,REST
1765210655.7048886,1,2,0,1,-1,0,1,1,REST
1765210655.7288692,0,-2,-3,1,-3,1,-1,-3,REST
1765210655.7498903,7,9,11,3,16,0,1,3,REST
1765210655.7650256,-11,-2,-2,4,8,0,-3,-4,REST
1765210655.787625,-5,-5,-4,-10,-7,-1,-1,-1,REST
1765210655.8098996,2,-1,-2,-3,-3,1,-2,-3,REST
1765210655.832646,12,3,-4,-2,-7,0,-1,1,REST
1765210655.8633556,-4,-4,-1,6,12,3,-1,2,REST
1765210655.8700285,6,-6,-5,-17,-7,5,-1,0,REST
1765210655.893006,-7,-2,-1,3,-2,-1,-2,-3,REST
1765210655.9155543,7,7,-1,-1,-6,-1,0,3,REST
1765210655.9299467,0,0,2,2,3,5,0,0,REST
1765210655.952401,-10,-7,-1,18,10,3,0,-4,REST
1765210655.9755557,-3,-7,-5,-3,-3,-2,-1,1,REST
1765210655.9898825,-1,1,2,-1,-6,0,-1,-1,REST
1765210656.0123785,-2,4,-4,-3,-5,1,0,-1,REST
1765210656.036648,-3,-1,3,10,5,2,-1,-1,REST
1765210656.0499349,-2,-2,-7,-5,0,-3,2,3,REST
1765210656.072643,-3,2,2,-4,11,-4,-4,-4,REST
1765210656.0956168,-8,0,-4,-6,-9,-2,-3,-3,REST
1765210656.1104522,-3,-6,1,12,4,0,1,-1,REST
1765210656.1324558,0,1,-3,-3,11,-6,-3,-5,REST
1765210656.155649,2,-4,-5,-9,-13,-4,0,3,REST
1765210656.1698763,-2,-2,-2,-3,-10,-4,-1,-3,REST
1765210656.1923969,2,1,-1,-4,-3,1,-1,-2,REST
1765210656.2155807,-3,-2,-1,-7,-9,0,-1,1,REST
1765210656.2299304,-1,2,0,0,2,1,2,0,REST
1765210656.2524478,0,3,5,-1,-7,-2,0,0,REST
1765210656.2756686,1,0,-2,3,6,1,-1,-1,REST
1765210656.2898958,-10,-5,0,-1,-12,5,-4,-2,REST
1765210656.312407,0,1,1,-1,2,0,-2,-3,REST
1765210656.3356192,2,5,3,-1,7,3,2,0,REST
1765210656.3661134,0,-4,-4,4,7,-4,-4,-3,REST
1765210656.3723757,-2,0,0,1,7,2,0,-2,REST
1765210656.3957362,6,-4,-10,-6,-4,-3,-1,-1,REST
1765210656.4181387,-3,-5,-6,-3,-6,0,-1,-1,REST
1765210656.4324498,0,-1,2,6,0,0,2,2,REST
1765210656.4555469,-6,-3,3,-6,-6,-5,-3,-4,REST
1765210656.469326,9,-2,-1,18,6,3,-1,4,REST
1765210656.4776342,-5,1,-4,-1,1,-5,-2,0,REST
1765210656.4931426,-1,4,8,6,11,-1,0,-2,REST
1765210656.5157406,-3,0,-3,-8,-12,-2,-2,0,REST
1765210656.5292313,3,1,1,-4,0,-2,0,0,REST
1765210656.5374343,2,-2,-1,18,6,-2,-2,-5,REST
1765210656.5524132,-1,-2,-5,-4,0,-1,-1,-2,REST
1765210656.5756037,-1,3,0,2,-2,0,1,-1,REST
1765210656.5893018,-4,-8,-3,-11,-5,-1,-2,2,REST
1765210656.597511,-9,4,0,-10,-3,1,0,-2,REST
1765210656.612488,-2,-4,-6,1,-6,0,-3,-3,REST
1765210656.6356091,-3,0,-1,7,10,2,2,1,REST
1765210656.6492367,-3,-1,3,8,7,-2,0,-2,REST
1765210656.6648953,1,3,0,-6,-3,-5,-2,0,REST
1765210656.6727116,10,3,-3,-14,-8,-2,-2,-1,REST
1765210656.6955683,-6,0,-1,-8,-1,-2,-2,-3,REST
1765210656.7093651,1,0,-1,-4,1,1,0,3,REST
1765210656.7174072,-11,-4,-2,7,11,-1,-1,-3,REST
1765210656.7324004,-1,0,2,6,-8,-1,-1,-2,REST
1765210656.755595,-4,0,1,1,-7,-1,0,1,REST
1765210656.779473,3,-8,-13,-13,-6,0,-2,-5,REST
1765210656.7924485,-2,0,0,1,-3,-3,1,-2,REST
1765210656.8147967,5,4,-2,1,16,2,-3,-2,REST
1765210656.8223903,0,-3,0,-8,-11,-3,1,0,REST
1765210656.8456893,-3,0,5,21,13,0,-1,0,REST
1765210656.8607936,-4,-4,-2,-10,-10,1,-2,-3,REST
1765210656.8756735,4,-8,-8,-9,-10,-3,1,2,REST
1765210656.8980842,-7,-1,2,8,1,-2,-1,1,REST
1765210656.9124584,2,2,2,-6,-10,2,-2,-2,REST
1765210656.935669,-2,-1,-1,-9,-6,-7,-4,-2,REST
1765210656.9581509,4,0,-6,-7,-12,-4,-2,3,REST
1765210656.9724507,-6,-3,0,-1,9,-2,-2,-2,REST
1765210656.9956584,-3,1,3,-3,-7,2,-3,-2,REST
1765210657.0186179,3,-1,1,3,10,1,-1,-1,REST
1765210657.0324767,-13,-9,-2,-11,-12,-1,-1,-2,REST
1765210657.055562,6,4,-1,-2,4,-1,-3,-2,REST
1765210657.0781453,0,-1,-1,2,-3,-1,2,4,REST
1765210657.09248,1,0,2,-11,-8,-2,0,-2,REST
1765210657.1156123,-6,0,2,4,4,0,0,0,REST
1765210657.1384196,-5,-6,-5,-5,-3,2,0,-2,REST
1765210657.1524363,5,5,6,3,1,1,-1,0,REST
1765210657.1756184,20,7,2,10,0,-2,-1,-1,REST
1765210657.1980956,-5,-12,-6,0,0,-1,1,-3,REST
1765210657.212446,-8,-4,-5,1,-3,1,-1,-3,REST
1765210657.2356465,-9,-2,-2,2,13,-4,-1,-1,REST
1765210657.2581153,0,-4,-4,-2,-1,-1,-2,-3,REST
1765210657.271807,-5,-2,1,-2,4,2,2,0,REST
1765210657.2799506,3,4,0,-2,-9,-2,-2,-1,REST
1765210657.2956736,3,1,-3,-4,-2,1,-1,0,REST
1765210657.318129,12,1,1,5,4,3,1,4,REST
1765210657.3324833,1,5,9,8,2,-3,2,1,REST
1765210657.3556185,-9,1,2,-1,-6,-3,-1,-5,REST
1765210657.3781521,-7,1,-5,-4,-11,-1,-3,-2,REST
1765210657.3918185,-1,-1,-5,-11,-2,-3,-2,-1,REST
1765210657.399977,-1,-4,-2,3,6,-3,-1,0,REST
1765210657.4149578,1,3,2,3,2,1,0,-1,REST
1765210657.4386067,-9,-1,1,-5,-13,-2,-3,-5,REST
1765210657.4518063,-8,-8,0,1,5,-2,-2,2,REST
1765210657.4600067,-3,0,-5,-7,-5,-2,0,-3,REST
1765210657.4749496,7,9,0,9,13,2,-1,-1,REST
1765210657.4981453,3,1,1,-1,0,-1,0,4,REST
1765210657.5117595,-1,-8,-8,-6,-5,-3,0,-2,REST
1765210657.5275478,2,7,3,27,12,-3,0,-1,REST
1765210657.5349698,-3,-6,-4,7,2,7,1,-1,REST
1765210657.5581195,-1,-1,-1,-2,-2,1,0,5,REST
1765210657.5807064,1,3,1,-8,-7,-5,-2,-3,REST
1765210657.5949059,-1,-2,-1,-1,-3,3,-1,-4,REST
1765210657.6181679,1,-5,-7,-7,-1,1,-1,-3,REST
1765210657.6318326,2,1,4,7,8,-3,0,-1,REST
1765210657.6400146,-1,-6,-8,-5,4,-1,0,8,REST
1765210657.6549494,1,1,0,-11,-8,-3,-2,1,REST
1765210657.678263,-5,-6,-8,-6,-5,2,0,-2,REST
1765210657.6917636,-4,2,4,8,2,-3,-1,-3,REST
1765210657.699995,-6,-8,-6,-5,1,-2,-2,-5,REST
1765210657.7149146,1,-2,-4,-8,-10,1,-1,-1,REST
1765210657.7383482,5,1,0,0,-1,-1,-1,-1,REST
1765210657.7606115,-7,2,0,2,1,-6,-2,-1,REST
1765210657.77496,2,4,-2,-17,-14,1,0,0,REST
1765210657.798162,-3,-3,1,4,-3,1,-2,-2,REST
1765210657.8206336,2,2,1,-1,0,-5,-1,0,REST
1765210657.8354628,3,0,5,28,27,5,0,2,REST
1765210657.858166,-2,-5,-2,-2,4,0,2,-1,REST
1765210657.8883688,-10,0,0,-4,-6,-2,-4,-7,REST
1765210657.8949656,3,1,-2,-7,-13,-3,-4,-3,REST
1765210657.9181356,-7,-7,-6,-7,-5,-1,-1,0,REST
1765210657.9406993,2,2,-1,-13,-4,-1,0,1,REST
1765210657.9549506,0,-6,0,3,0,1,-2,-2,REST
1765210657.9782155,0,-3,-2,2,1,-3,1,1,REST
1765210658.0006733,-5,-1,-5,-6,7,1,-3,-4,REST
1765210658.0151265,16,3,-2,-1,3,-4,0,3,REST
1765210658.038191,-5,0,1,1,-5,-2,1,2,REST
1765210658.0606515,2,2,2,4,0,0,-1,-1,REST
1765210658.0752215,3,0,-1,2,-9,-1,0,-1,REST
